2022-10-19 10:54:20 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:20 | 291.417µs | 127.0.0.1 | GET | 200 |/group1/reload?action=get
2022-10-19 10:54:23 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:23 | 109.857208ms | 127.0.0.1 | POST | 200 |/group1/upload
2022-10-19 10:54:23 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:23 | 3.614375ms | 127.0.0.1 | GET | 200 |/group1/default/20221019/10/54/5/0_big.txt?name=0_big.txt&download=1
2022-10-19 10:54:23 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:23 | 139.625µs | 127.0.0.1 | POST | 200 |/group1/check_file_exist
2022-10-19 10:54:23 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:23 | 175.25µs | 127.0.0.1 | GET | 200 |/group1/check_file_exist?md5=0b48b7b4a7e52c0d4d4d54832b7a7228
2022-10-19 10:54:23 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:23 | 67.625µs | 127.0.0.1 | GET | 200 |/group1/index
2022-10-19 10:54:23 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:23 | 3.943333ms | 127.0.0.1 | GET | 200 |/group1/status
2022-10-19 10:54:23 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:23 | 3.452417ms | 127.0.0.1 | GET | 200 |/group1/stat
2022-10-19 10:54:23 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:23 | 119.542µs | 127.0.0.1 | GET | 200 |/group1/repair?force=1
2022-10-19 10:54:23 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:23 | 38.208µs | 127.0.0.1 | GET | 200 |/group1/repair_stat
2022-10-19 10:54:23 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:23 | 61.167µs | 127.0.0.1 | GET | 200 |/group1/sync?force=1&date=20221019
2022-10-19 10:54:23 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:23 | 140.833µs | 127.0.0.1 | GET | 200 |/group1/delete?md5=0b48b7b4a7e52c0d4d4d54832b7a7228
2022-10-19 10:54:23 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:23 | 26.875µs | 127.0.0.1 | GET | 200 |/group1/repair_fileinfo
2022-10-19 10:54:23 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:23 | 587.25µs | 127.0.0.1 | GET | 200 |/group1
2022-10-19 10:54:23 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:23 | 470.791µs | 127.0.0.1 | GET | 200 |/group1/list_dir
2022-10-19 10:54:23 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:23 | 64.792µs | 127.0.0.1 | GET | 200 |/group1/gen_google_code?secret=N7IET373HB2C5M6D
2022-10-19 10:54:23 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:23 | 69.042µs | 127.0.0.1 | GET | 200 |/group1/gen_google_secret
2022-10-19 10:54:23 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:23 | 30.708µs | 127.0.0.1 | GET | 200 |/group1/receive_md5s?md5s=xx
2022-10-19 10:54:23 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:23 | 45.959µs | 127.0.0.1 | GET | 200 |/group1/remove_empty_dir
2022-10-19 10:54:23 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:23 | 50.459µs | 127.0.0.1 | GET | 200 |/group1/backup
2022-10-19 10:54:23 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:23 | 62.959µs | 127.0.0.1 | GET | 200 |/group1/search?kw=ab
2022-10-19 10:54:23 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:23 | 67.875µs | 127.0.0.1 | GET | 200 |/group1/reload=get
2022-10-19 10:54:23 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:23 | 30.125µs | 127.0.0.1 | GET | 200 |/group1/back
2022-10-19 10:54:23 [INF] [handler.go:34] [github.com/sjqzhang/go-fastdfs/server.HttpHandler.ServeHTTP.func1] [Access] 2022/10/19 - 10:54:23 | 55.625µs | 127.0.0.1 | GET | 200 |/group1/report
